,Version,Width,Frames,Threads,N,Média,Erro,Speedup,Eficiência
1,1,512,32,1,5,11.74762,0.150012581,-,-
2,1,512,32,2,5,5.92354,0.047275812,1.983209365,99%
3,1,512,32,4,5,3.07358,0.083667811,3.822129243,96%
4,1,512,32,8,5,1.61432,0.06913548,7.277132167,91%
5,1,512,64,1,5,22.5455,0.187097159,-,-
6,1,512,64,2,5,11.4467,0.160391571,1.969606961,98%
7,1,512,64,4,5,5.8189,0.054784058,3.87452955,97%
8,1,512,64,8,5,3.03522,0.047922631,7.427962388,93%
9,1,1024,32,1,5,47.03844,0.406195808,-,-
10,1,1024,32,2,5,23.8545,0.222513521,1.971889581,99%
11,1,1024,32,4,5,12.16352,0.04453817,3.867173318,97%
12,1,1024,32,8,5,6.2153,0.051216335,7.568168874,95%
13,1,1024,64,1,5,90.09448,0.33715563,-,-
14,1,1024,64,2,5,45.57174,0.432393879,1.976981349,99%
15,1,1024,64,4,5,23.16098,0.149988822,3.88992521,97%
16,1,1024,64,8,5,11.80576,0.08129007,7.631400266,95%
17,2,512,32,1,5,12.02742,0.188655052,-,-
18,2,512,32,2,5,6.42494,0.410423602,1.871989466,94%
19,2,512,32,4,5,3.3642,0.06909958,3.575120385,89%
20,2,512,32,8,5,2.03586,0.168133811,5.907783443,74%
21,2,512,64,1,5,22.96306,0.301364068,-,-
22,2,512,64,2,5,12.31834,0.628324046,1.864135914,93%
23,2,512,64,4,5,6.6974,0.454298232,3.42865291,86%
24,2,512,64,8,5,3.88202,0.183441633,5.915234852,74%
25,2,1024,32,1,5,47.72526,0.151775411,-,-
26,2,1024,32,2,5,25.42674,0.80061463,1.876971252,94%
27,2,1024,32,4,5,13.2651,0.111377237,3.597806274,90%
28,2,1024,32,8,5,7.38514,0.433030631,6.46233653,81%
29,2,1024,64,1,5,91.25748,0.824164101,-,-
30,2,1024,64,2,5,49.0483,1.106466977,1.860563567,93%
31,2,1024,64,4,5,25.69116,0.13904722,3.552096519,89%
32,2,1024,64,8,5,13.88674,0.28760552,6.571555311,82%
33,3,512,32,1,5,12.21386,0.179363439,-,-
34,3,512,32,2,5,6.68598,0.090130775,1.826786799,91%
35,3,512,32,4,5,3.36278,0.029460458,3.632072274,91%
36,3,512,32,8,5,1.80718,0.077145769,6.758518797,84%
37,3,512,64,1,5,23.41134,0.314488965,-,-
38,3,512,64,2,5,12.49812,0.461094919,1.873188928,94%
39,3,512,64,4,5,6.59706,0.103053716,3.548753536,89%
40,3,512,64,8,5,3.4368,0.043653041,6.811958799,85%
41,3,1024,32,1,5,48.81718,0.383611038,-,-
42,3,1024,32,2,5,25.96458,0.96687439,1.880145182,94%
43,3,1024,32,4,5,13.4682,0.061407076,3.624625414,91%
44,3,1024,32,8,5,7.0277,0.038458432,6.94639498,87%
45,3,1024,64,1,5,93.6643,0.711180135,-,-
46,3,1024,64,2,5,49.83344,1.089074707,1.879547147,94%
47,3,1024,64,4,5,25.82956,0.170885714,3.626244504,91%
48,3,1024,64,8,5,13.3429,0.046069979,7.019785804,88%
