"Size","Processes","Cluster","N","Mean","Error"
512,1,1,10,0.0325,0.00156524758424985
512,1,2,10,0.0319,0.0017578395831247
512,1,3,10,0.0317,0.000781024967590666
512,1,4,10,0.031,0.00148323969741913
512,2,1,10,0.0324,0.000916515138991169
512,2,2,10,0.0325,0.00185741756210067
512,2,3,10,0.0334,0.00629603049547888
512,2,4,10,0.0311,0.0013
512,4,1,10,0.0333,0.0019
512,4,2,10,0.0356,0.00721387551874857
512,4,3,10,0.0329,0.00151327459504216
512,4,4,10,0.0331,0.00192093727122986
512,8,1,10,0.0344,0.00162480768092719
512,8,2,10,0.0346,0.000663324958071079
512,8,3,10,0.0351,0.000699999999999998
512,8,4,10,0.0346,0.00149666295470958
512,16,1,10,0.0387,0.000900000000000001
512,16,2,10,0.0385,0.00128452325786651
512,16,3,10,0.0388,0.00116619037896906
512,16,4,10,0.0388,0.0016
512,32,1,10,0.0468,0.00213541565040626
512,32,2,10,0.0475,0.00287228132326901
512,32,3,10,0.0462,0.00231516738055805
512,32,4,10,0.0597,0.039140899325386
512,64,1,10,0.0631,0.00181383571472171
512,64,2,10,0.0603,0.00195192212959431
512,64,3,10,0.0608,0.0014
512,64,4,10,0.0626,0.00249799919935936
512,128,1,10,0.0901,0.00211896201004171
512,128,2,10,0.0908,0.00285657137141714
512,128,3,10,0.0906,0.00149666295470958
512,128,4,10,0.0908,0.00203960780543712
512,256,1,10,0.1525,0.00369459064038224
512,256,2,10,0.1522,0.00321869538788622
512,256,3,10,0.1516,0.00310483493925201
512,256,4,10,0.1526,0.00228910462845192
1024,1,1,10,0.032,0.00173205080756888
1024,1,2,10,0.0319,0.00151327459504216
1024,1,3,10,0.032,0.00126491106406735
1024,1,4,10,0.0317,0.00118743420870379
1024,2,1,10,0.031,0.00109544511501033
1024,2,2,10,0.033,0.00141421356237309
1024,2,3,10,0.0325,0.00102469507659596
1024,2,4,10,0.0328,0.00116619037896906
1024,4,1,10,0.0337,0.00148660687473185
1024,4,2,10,0.0338,0.0016
1024,4,3,10,0.0334,0.00156204993518133
1024,4,4,10,0.0327,0.000781024967590666
1024,8,1,10,0.0355,0.00233452350598575
1024,8,2,10,0.0348,0.00116619037896906
1024,8,3,10,0.0348,0.000979795897113269
1024,8,4,10,0.0347,0.00148660687473185
1024,16,1,10,0.0386,0.0012
1024,16,2,10,0.0376,0.0012
1024,16,3,10,0.0392,0.0014
1024,16,4,10,0.0382,0.0014
1024,32,1,10,0.0467,0.00334813380855664
1024,32,2,10,0.046,0.00178885438199983
1024,32,3,10,0.0467,0.00184661853126194
1024,32,4,10,0.0462,0.00116619037896906
1024,64,1,10,0.0626,0.00200997512422418
1024,64,2,10,0.0605,0.0017464249196573
1024,64,3,10,0.0614,0.00200997512422418
1024,64,4,10,0.062,0.00209761769634031
1024,128,1,10,0.0915,0.00261725046566048
1024,128,2,10,0.0909,0.0013
1024,128,3,10,0.0905,0.00206155281280883
1024,128,4,10,0.09,0.00232379000772445
1024,256,1,10,0.1534,0.00335261092284804
1024,256,2,10,0.154,0.00264575131106459
1024,256,3,10,0.1537,0.00303479818109871
1024,256,4,10,0.153,0.00154919333848297
2048,1,1,10,0.0309,0.00164012194668567
2048,1,2,10,0.031,0.00134164078649987
2048,1,3,10,0.0314,0.00128062484748657
2048,1,4,10,0.0321,0.0013
2048,2,1,10,0.0325,0.00120415945787923
2048,2,2,10,0.0323,0.00134536240470737
2048,2,3,10,0.0319,0.0020712315177208
2048,2,4,10,0.0315,0.00224722050542442
2048,4,1,10,0.0334,0.000800000000000001
2048,4,2,10,0.0331,0.00175783958312469
2048,4,3,10,0.0331,0.00151327459504216
2048,4,4,10,0.0335,0.00136014705087355
2048,8,1,10,0.0346,0.000916515138991167
2048,8,2,10,0.0346,0.00101980390271856
2048,8,3,10,0.0349,0.0018138357147217
2048,8,4,10,0.0353,0.00179164728671689
2048,16,1,10,0.0378,0.00124899959967968
2048,16,2,10,0.0385,0.00136014705087355
2048,16,3,10,0.0393,0.00118743420870379
2048,16,4,10,0.0398,0.00267581763205193
2048,32,1,10,0.0476,0.0022
2048,32,2,10,0.0463,0.00219317121994613
2048,32,3,10,0.0467,0.00179164728671689
2048,32,4,10,0.0469,0.00238537208837531
2048,64,1,10,0.0628,0.00146969384566991
2048,64,2,10,0.0616,0.0020591260281974
2048,64,3,10,0.062,0.00189736659610103
2048,64,4,10,0.0626,0.0029732137494637
2048,128,1,10,0.0916,0.00142828568570857
2048,128,2,10,0.0918,0.0026
2048,128,3,10,0.0913,0.0021
2048,128,4,10,0.0908,0.00256124969497314
2048,256,1,10,0.1533,0.00316385840391128
2048,256,2,10,0.1534,0.00210713075057055
2048,256,3,10,0.1536,0.00366606055596468
2048,256,4,10,0.154,0.00268328157299975
